Text,Sentiment,Score
"Ten Hag: ""Mourinho ve ben son yıllarda birçok kupa kazandık ama her yıl kendinizi kanıtlamak zorundasınız, bunu yapmazsanız eleştirilirsiniz, bunu biliyoruz. Maç kazanamadığınız zaman eleştiri geliyor"".",LABEL_0,0.5733893513679504
"Mourinho’yu gönderecek para nerede gardaşım 

Ali zaten cebinden verdikleri yetti ",LABEL_1,0.5672394633293152
Telefonu kaldırıp atalım,LABEL_0,0.6529897451400757
"Zulme DUR DE

Birlik olup mücadele etmek şart

kürdistan rehine mossad amed interneti dhkpc uzay sanayii aş ankara'ya bengisu istihbarat amed erişim özel harekat barış alper yılmaz kaan ayhan içerden jose mourinho şehitlerimize Allah'tan",LABEL_0,0.5802534222602844
"Febenin klasikleşmiş ağlama olayları. Awk koskoca Mourinho yu da kendinizeebenzettiniz. Adam geldiğinden beri takıma konsantre olamıyor belliki, sürekli GS düşmanlığı pompalayan yoneticilerinizin eseri bu daha beter olmaaniz dileğiyle",LABEL_0,0.5817846655845642
"İzin verilsin barışı sağlayabilir

rehine ankara'ya bengisu istihbarat amed erişim özel harekat mossad amed interneti dhkpc uzay sanayii aş jose mourinho kürdistan  barış alper yılmaz kaan ayhan içerden chpkk devletimizin yanındayız",LABEL_0,0.5652127861976624
"#sonsayfa
Bruno Fernandes yokken Fb, Man.Utd'ı yenmeyecek de ne zaman yenecek? Mourinho'nun Samsunda puan bırakmasının sebebi bence bu maça çok daha fazla odaklanmış olması. Bir Gsli olarak Fb'ye ülke puanı açısından başarılar diliyorum.",LABEL_0,0.5605629682540894
Banada öyle geliyor ama yenmesin berabere bitsin Mourinho gider yoksa ,LABEL_0,0.5012765526771545
"BELGESEL | Teröristbaşı Abdullah Öcalan ve PKK yönetimi Kürt değildir!

İşte az bilinen gerçekler...",LABEL_0,0.5489614605903625
En büyük fıkra Mourinho fb'nin maç öncesi basın toplantısında İngiliz kulüpleriyle flört etmesi ve Porto'nun fb'den daha büyük olduğunu itiraf etmesi,LABEL_0,0.562556266784668
Mourinho İngiltere'ye geri dönmek istiyormuş.,LABEL_0,0.530885636806488
"Jose Mourinho futbolda hakem ve yayıncı adaletiyle yüzleşiyor..
@beINSPORTS
 
@beINSPORTSNews
 
@beINSPORTS_EN
 
@beINSPORTSUSA
 
@beinsports_FR",LABEL_0,0.572780430316925
"Şu amk takımında 3 gol yediler. Bu adam bu ülkede kahraman hoca  Mourinho işi bilmez neyse çok yordu burası, yönetimde sığınaklara indi herhalde hocaya destek vs yok. Sayın Ali Koç siz kriz yönetemeyen bir yöneticisiniz. Ve asla Lider olamayacaksınız. Üzücü",LABEL_0,0.580906331539154
Suan ki kadroda sorun yok bence. Bu takimin basina herhangi bi adami getirseydi yeterdi. Populistlik ugruna mourinho alindi,LABEL_0,0.583357036113739
"Jose Mourinho: ""Harika sandığınız bazı oyuncular harika değiller. Bazen takım için kritik hatalar yapıyorlar.""

Mourinho aynı zamanda dev bir scout, oyuncuları nasıl değerlendirdiği fenerbahçeli oyuncuları izleyen diğer takımlar için bir veri. 

Mourinho kötü rapor veriyor bu",LABEL_0,0.5750831365585327
"neden etik değil mesela?
jose osimheni arayıp imzalı formasını istese etik olmayacak mı?
Bu talebi Mourinho’ya çok mu görüyorsun?",LABEL_0,0.575654923915863
