week,text,sentiment,score
1,"Murat Zorlu: ""Orta saha konusu hangi yöneticiye sorsam limitimiz yok diyor. Limiti ben mi açayım?? Oğuz Aydın’ı Levent Mercan’i acele edip almasaydın. Levent Mercan nerde?.""

@SportsDigitale",LABEL_2,0.9813248515129089
1,Senin bu dediklerin yapılsa zaten Mourinho'ya ihtiyaç yok ki.İyi bir kadroyu herkes şampiyon yapar.Eğer elindeki kadroyla şampiyon olamıyorsa Mourinho iyi bir hoca değil demek ki.,LABEL_2,0.9775285124778748
1,Bu çok daha gerçekçi bir senaryo olmuş. Katılıyorum. Aşağı yukarı böyle olacak. Mourinho Ali Koç'u da yiyip gider,LABEL_1,0.6040289402008057
1,"Önder Özen:

 Zico oyunu kendi oynadığı gibi dizayn etti,güzel oyundan vazgeçmedi. Mourinho'da ""Benim bir başarı modelim ve boynumda madalyam var'
"" diyor. %  80 topla oynamam var' demiyor.",LABEL_1,0.951798677444458
1,"Şu adam iki gündür kendini paraladı, tamam kardeş Mourinho iyi fener uzay futbolu oynuyor dur artık dinlen",LABEL_1,0.5152930021286011
1,"Zico'nun vaadi joga bonito’ydu. Geldi, kendi oynadığı gibi dizayn etti. Güzel oyundan vazgeçmedi. Mourinho da 'Benim bir başarı modelim ve boynumda madalyam var' diyor. 'Joga bonito, tiki taka, yüzde 80 topla oynamam var' demiyor.

Önder Özen",LABEL_1,0.9733220338821411
1,Mourinho’yu uyarıyorum bu sene şampiyon olamazsanız ve kocam üzülürse çok kızarım,LABEL_2,0.969696044921875
1,Mourinho dönemi Avrupa bitti abi neyin kafasını yaşıyorsunuz ? 2017 den sonra çalıştığı her takımda maddi anlamda bitirdi ve hiç bir başarı elde edemedi. Oynattıgi futbol çözüldü artık tutmuyor. Ama işte Fener daha önce öyle saçma hocalar ile calisti ki elenmelerine ramen mutlu,LABEL_2,0.9955482482910156
1,Mourinho Roma'da şamp Ligi'nde mi oynuyodu? Manuyla bile UEFA'ya gitti. Saçma sapan konuşmalar bunlar. Şart değil Cl gitmesi he gitsek iyi olurdu ama olmadı napalım yani sanarsın mahalle takımına elendik. Serhat hıyarına fazla bakmayın boş yapmaya devam ediyo işte.,LABEL_2,0.9956274032592773
1,"Hala bu odada Mourinho , Branco eleştiren kişileri görüyorum oğlum siz hala uyanamadınız mı bu takımın en büyük sorunu ALİ KOÇ o adamın işi gücü yalan , dolan , manipülasyon",LABEL_2,0.9841893315315247
1,"Aradaki farkı yıllar önce Mourinho anlamıştı ki, yine belirtti kralll Rütbe farkını ",LABEL_1,0.9819025993347168
