week,text,sentiment,score
1,"Murat Zorlu: ""Orta saha konusu hangi yöneticiye sorsam limitimiz yok diyor. Limiti ben mi açayım?? Oğuz Aydın’ı Levent Mercan’i acele edip almasaydın. Levent Mercan nerde?.""

@SportsDigitale",negative,0.9861007332801819
1,Senin bu dediklerin yapılsa zaten Mourinho'ya ihtiyaç yok ki.İyi bir kadroyu herkes şampiyon yapar.Eğer elindeki kadroyla şampiyon olamıyorsa Mourinho iyi bir hoca değil demek ki.,positive,0.5865997672080994
1,Bu çok daha gerçekçi bir senaryo olmuş. Katılıyorum. Aşağı yukarı böyle olacak. Mourinho Ali Koç'u da yiyip gider,negative,0.9963181018829346
1,"Önder Özen:

 Zico oyunu kendi oynadığı gibi dizayn etti,güzel oyundan vazgeçmedi. Mourinho'da ""Benim bir başarı modelim ve boynumda madalyam var'
"" diyor. %  80 topla oynamam var' demiyor.",negative,0.7237538695335388
1,"Şu adam iki gündür kendini paraladı, tamam kardeş Mourinho iyi fener uzay futbolu oynuyor dur artık dinlen",negative,0.9979742169380188
1,"Zico'nun vaadi joga bonito’ydu. Geldi, kendi oynadığı gibi dizayn etti. Güzel oyundan vazgeçmedi. Mourinho da 'Benim bir başarı modelim ve boynumda madalyam var' diyor. 'Joga bonito, tiki taka, yüzde 80 topla oynamam var' demiyor.

Önder Özen",positive,0.8337334990501404
1,Mourinho’yu uyarıyorum bu sene şampiyon olamazsanız ve kocam üzülürse çok kızarım,positive,0.7486933469772339
1,Mourinho dönemi Avrupa bitti abi neyin kafasını yaşıyorsunuz ? 2017 den sonra çalıştığı her takımda maddi anlamda bitirdi ve hiç bir başarı elde edemedi. Oynattıgi futbol çözüldü artık tutmuyor. Ama işte Fener daha önce öyle saçma hocalar ile calisti ki elenmelerine ramen mutlu,negative,0.9973015189170837
1,Mourinho Roma'da şamp Ligi'nde mi oynuyodu? Manuyla bile UEFA'ya gitti. Saçma sapan konuşmalar bunlar. Şart değil Cl gitmesi he gitsek iyi olurdu ama olmadı napalım yani sanarsın mahalle takımına elendik. Serhat hıyarına fazla bakmayın boş yapmaya devam ediyo işte.,negative,0.9989672899246216
1,"Hala bu odada Mourinho , Branco eleştiren kişileri görüyorum oğlum siz hala uyanamadınız mı bu takımın en büyük sorunu ALİ KOÇ o adamın işi gücü yalan , dolan , manipülasyon",negative,0.9907199144363403
1,"Aradaki farkı yıllar önce Mourinho anlamıştı ki, yine belirtti kralll Rütbe farkını ",positive,0.9575524926185608
1," UEFA Avrupa Ligi'nde şu ana kadar lig etabına katılmaya hak kazanan takımlar:

 FENERBAHÇE
 Roma",positive,0.9817107319831848
1,"Yeniler, Mourinho dokunuşlarından sonra büyük katkı yapacak gibi gözüküyor. Syzmanski gibi son dönemde form sorunu yaşayan ve sürekli aşağı çekilen oyuncuların grafiğinin de yükselmesini ve oyuna gerçek katkı yapmasını bekleriz.",positive,0.7475524544715881
1,Valla tamam her yere Atatürk yazdır çimlerin üstü dahil ama adam gibi transferler yap. Yeter artık. Mourinho gibi adamı da rezil etme,negative,0.9987589120864868
1,Bak mourinho'ya bile ders vermişler amk sürekli Galatasaray hakkında demeç vereceksin diye daha dakika 1 başladı Galatasaray hakkında konuşmaya herif lan bırakın işini yapsın ama olmaz işin içerisinde mutlaka Galatasaray da olmalı ki taraftarlar kötü sonuç olursa sakin olsun ,negative,0.8744529485702515
1,"Fenerbahçe'den Mourinho Açıklaması

 'Hocamızın Sözleri Kasten Saptırılıyor'",negative,0.9956054091453552
1,Mourinho bence artık dişini göstermeye başlamıştır. Yakında gelenler ve gidenlerle ilgili transfer haberleri gelir,positive,0.9645246863365173
1,"Jose Mourinho: Maçtaki penaltıyla ilgili bir şey demesem benim için daha iyi olur. Son zamanlarda benim başıma gelen diğer olaylara veya Avrupa Şampiyonası'nda olaylara baktığımda bunun neden penaltı olduğunu sadece hakem biliyor. Ben takımımla gurur duyuyorum."" (Exxen)",positive,0.9846127033233643
1,"Yağız Sabuncuoğlu; “Mourinho’nun Fenerbahçe’ye 2 yıllık maliyeti 47 milyon Euro.”

 Lig galibiyet: 160 bin euro
 Ön eleme:  0

 Kalan : 46 milyon 840 bin..

Batacaklar yakında ",negative,0.9918224215507507
1,Gitme kal Ferdi Kadıoğlu,negative,0.9193446636199951
1,Allah'ın rezil yöneticileri sizi. Ulan bikere yüzümüzü kara çıkarmayın bari be. Mourinho alınmışken bari bunu yapmayın adama imza attırırken plan proje yrak kürek konuşturuyordunuz. Sizin ben cam tavanınızı.......,negative,0.9991512298583984
1,"Mauro İcardi : “Mourinho gibi bir hocanın böyle konuşması enteresan. Büyük kulüplerde böyle şeyler yapmazdı” demiş

Yiğidi öldür, hakkını yeme)) Fenere çok fena saplamış))",positive,0.980588972568512
1,İsmail neden yapamadı o zaman hem mourinho her şeyin en iyisini bilir Çağlar gayet iyi oynuyor nerenle izliyorsun maçı sen hem yok dayı küme düşmeye oynarız rahat ol sen ama bence küme düşeriz futbol bilgin bu kadar yapacak bir şey yok,negative,0.8855012059211731
